,
3www,Who-What-Where
admn,Admin
agri,Agriculture
cccm,Camp Coordination / Management
educ,Education
elev,Elevation
envi,Environmental aspects
heal,Health 
imgy,Imagery
land,LandUse
logs,Logistics
ma,MapAction Geoprocessing data
nutr,Nutrition 
phys,Physical
pois,Points of Interest
popu,Population
prot,Security Safety and Protection
rcvy,Early Recovery 
scan,Map_scans
shel,Emergency Shelter
situ,Situation and Damage
stle,Settlements
telc,Emergency Telecommunications
tran,Transport
usar,Search and Rescue / evacuation planning
util,Utilities
wash,Water Sanitation and Hygiene
